text,label,label_id,outlet,label_source,outlet_group,word_count,char_count,has_question,has_colon,has_exclaim,caps_word_ratio,avg_word_len,form_score,m_reveal,m_authority,m_cata,m_withhold,m_vague,m_emo,m_list,m_addr,m_q,m_colon,split
"У декларації втікача-«слуги» Артема Дмитрука лише ВАЗ за $500, а реально — лакшері майно, записане на помічників",neutral,0,znaj.ua,llm,znaj_holding,17,112,0,0,0,0.0588,5.294,0,0,0,0,0,0,0,0,0,0,0,val
«Збір із зірочкою»: команда KFC збирає кошти на укриття у прифронтових школах,neutral,0,hromadske.ua,llm,quality,12,77,0,1,0,0.0833,5.25,0,0,0,0,0,0,0,0,0,0,0,train
"""Одна з найважливіших деталей у зовнішності"": Що робить молодшою будь-яку жінку",clickbait,1,ukr.media,llm,ukrmedia,11,79,0,1,0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,test
Чи повинні ви годувати друзів своєї дитини: реальна дилема сучасної мами,clickbait,1,ukr.media,llm,ukrmedia,11,72,0,1,0,0.0,5.545,2,0,0,0,0,0,0,0,0,1,1,train
Байден: Україна має реальний шанс здобути перемогу,neutral,0,pravda.com.ua,llm,quality,7,50,0,1,0,0.0,6.143,0,0,0,0,0,0,0,0,0,0,0,train
Як насправді працюють засоби для збільшення губ та чи варто їх використовувати,clickbait,1,znaj.ua,llm,znaj_holding,12,78,0,0,0,0.0,5.583,1,0,0,0,0,0,0,0,0,1,0,test
Звільніть місце новому: навіщо потрібне генеральне прибирання перед Новим роком,clickbait,1,ukr.media,llm,ukrmedia,10,79,0,1,0,0.0,6.9,1,0,0,0,0,0,0,0,0,0,1,train
Перемир'я до травня чи посилення війни: експерт розповів про сценарії на найближчі місяці,clickbait,1,politeka.net,llm,znaj_holding,13,89,0,1,0,0.0,5.846,4,1,1,0,0,1,0,0,0,0,1,test
"«Буде основою кадрової професійної армії», - експерт про контракти для чоловіків від 18 до 25 років",neutral,0,politeka.net,llm,znaj_holding,16,99,0,0,0,0.0,5.062,2,0,1,0,0,0,0,1,0,0,0,train
Де не можна розміщати зарядну станцію: експерти назвали потенційно небезпечні місця у домі,clickbait,1,znaj.ua,llm,znaj_holding,13,90,0,1,0,0.0,5.923,4,1,1,0,0,0,0,0,0,1,1,train
«Росію буде знищено швидше»: експерт оцінив наслідки нападу на Європу для путіна,clickbait,1,politeka.net,llm,znaj_holding,12,80,0,1,0,0.0,5.5,2,1,1,0,0,0,0,0,0,0,0,train
"Жартувати я б із цим не став, - Михайло Шейтельман про Третю світову війну",neutral,0,politeka.net,llm,znaj_holding,14,74,0,0,0,0.0,4.286,0,0,0,0,0,0,0,0,0,0,0,val
Олігарх-утікач Сергій Курченко обживається в елітному районі Москви,neutral,0,znaj.ua,llm,znaj_holding,8,67,0,0,0,0.0,7.5,0,0,0,0,0,0,0,0,0,0,0,train
"Найбільш ймовірним є сценарій гнилої угоди, яка призведе до нової хвилі війни за рік, – експерт пояснив, чому мир з рф недосяжний",neutral,0,politeka.net,llm,znaj_holding,21,129,0,0,0,0.0,4.952,2,1,1,0,0,0,0,0,0,0,0,train
"Ексрадник Олени Думи, незважаючи на звільнення, ходить до АРМА, як до себе додому: б'є співробітників та ""вирішує справи""",neutral,0,znaj.ua,llm,znaj_holding,18,121,0,1,0,0.0556,5.444,1,0,0,0,0,0,0,0,0,0,1,train
"WP про контрнаступ: Усе пішло не за планом, і Залужному довелося змінити тактику",neutral,0,pravda.com.ua,llm,quality,13,80,0,1,0,0.0,5.077,0,0,0,0,0,0,0,0,0,0,0,test
"Не монополія, а успішний бізнес? Донька Олега Шмуляра збирає ""золоті"" тендери в комунальних підприємствах та Міноборони",neutral,0,znaj.ua,llm,znaj_holding,16,119,1,0,0,0.0,6.25,0,0,0,0,0,0,0,0,0,0,0,val
"Вранці, вдень чи ввечері: в який час доби краще садити розсаду",clickbait,1,ukr.media,llm,ukrmedia,11,62,0,1,0,0.0,4.545,1,0,0,0,0,0,0,0,0,0,1,train
"«За три дні вас усіх не вб’ють»: Голова керівної партії Грузії заявив, що країні пропонували воювати проти рф",neutral,0,hromadske.ua,llm,quality,19,109,0,1,0,0.0,4.579,2,1,0,0,0,0,0,0,1,0,0,train
"Брудна голова? Можливо, ви просто неправильно її миєте і ми знаємо, як це виправити",clickbait,1,ukr.media,llm,ukrmedia,14,83,1,0,0,0.0,4.786,0,0,0,0,0,0,0,0,0,0,0,val
Чотири знаки Зодіаку зі сталевим стрижнем усередині,clickbait,1,ukr.media,llm,ukrmedia,7,51,0,0,0,0.0,6.429,0,0,0,0,0,0,0,0,0,0,0,train
Кремль відкрив новий фронт: путін загрожує заходу війною в Африці,neutral,0,politeka.net,llm,znaj_holding,10,65,0,1,0,0.0,5.5,1,0,0,0,0,0,0,0,0,0,1,train
"Що станеться з вашим тілом, якщо проходити по 10 000 кроків щодня",clickbait,1,ukr.media,llm,ukrmedia,12,65,0,0,0,0.0,4.417,2,0,0,0,0,0,0,0,1,1,0,train
"В Інституті демографії вважають, що половина ""воєнних мігрантів"" не повернеться в Україну",neutral,0,pravda.com.ua,llm,quality,12,89,0,0,0,0.0,6.25,0,0,0,0,0,0,0,0,0,0,0,train
Військові виплати — на казино: ексслужбовець отримав вісім років тюрми,neutral,0,zn.ua,llm,quality,9,70,0,1,0,0.0,6.556,1,0,0,0,0,0,0,0,0,0,1,train
"Їй 33 роки і вона не хоче мати дітей, але її рішення викликає безліч питань і критики",clickbait,1,ukr.media,llm,ukrmedia,17,85,0,0,0,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0,train
"Люди, які розуміються на геополітиці, розуміють, що це вистава, - військовий експерт про великоднє перемир'я путіна",neutral,0,politeka.net,llm,znaj_holding,16,115,0,0,0,0.0,6.0,1,0,1,0,0,0,0,0,0,0,0,train
"""Центренерго"" блокує модернізацію: європейські гранти заважають старим вугільним схемам",neutral,0,znaj.ua,llm,znaj_holding,9,87,0,1,0,0.0,8.444,1,0,0,0,0,0,0,0,0,0,1,train
"Ще два судна успішно пройшли тимчасовим ""зерновим коридором"" – Зеленський",neutral,0,pravda.com.ua,llm,quality,9,73,0,0,0,0.0,6.778,0,0,0,0,0,0,0,0,0,0,0,train
"До 5 градусів тепла: синоптики повідомили, де в Україні буде найхолодніше",clickbait,1,politeka.net,llm,znaj_holding,11,73,0,1,0,0.0,5.545,3,0,1,0,0,0,0,1,0,0,1,train
Ситуація на фронті різко зміниться: військовий експерт розповів про передачу Україні протипіхотних мін,clickbait,1,politeka.net,llm,znaj_holding,13,102,0,1,0,0.0,6.846,3,1,1,0,0,0,0,0,0,0,1,val
"ППО збила 15 з 23 ""Шахедів"" та одну з чотирьох авіаракет",neutral,0,pravda.com.ua,llm,quality,11,56,0,0,0,0.0909,4.0,0,0,0,0,0,0,0,0,0,0,0,train
Замінник цукру у напоях може провокувати проблеми з серцем,neutral,0,znaj.ua,llm,znaj_holding,9,58,0,0,0,0.0,5.556,0,0,0,0,0,0,0,0,0,0,0,train
На хліб вранці мажемо домашню смакоту — і ковбаса більше не потрібна,clickbait,1,ukr.media,llm,ukrmedia,11,68,0,0,0,0.0,5.091,0,0,0,0,0,0,0,0,0,0,0,train
"Мигдальна, кокосова, арганова — яка олія потрібна саме вашій шкірі",clickbait,1,ukr.media,llm,ukrmedia,9,66,0,0,0,0.0,6.0,1,0,0,0,0,0,0,0,1,0,0,val
Чому кішка торкається лапою до обличчя людини: основні причини,clickbait,1,ukr.media,llm,ukrmedia,9,62,0,1,0,0.0,5.889,2,0,0,0,0,0,0,0,0,1,1,train
Цих помилок під час миття вікон припускається багато хто: як легко уникнути розводів,clickbait,1,ukr.media,llm,ukrmedia,13,84,0,1,0,0.0,5.462,1,0,0,0,0,0,0,0,0,0,1,val
Повітряні сили вразили пункт управління підрозділами БпЛА в Курській області РФ,neutral,0,pravda.com.ua,llm,quality,11,79,0,0,0,0.0,6.273,0,0,0,0,0,0,0,0,0,0,0,train
"""Це помста"": літаки РФ палають один за одним, топ втрат в авіації ворога",clickbait,1,politeka.net,llm,znaj_holding,13,72,0,1,0,0.0,4.308,0,0,0,0,0,0,0,0,0,0,0,val
Главу одеського осередку партії «Удар» Суханова затримали за хабар у мільйон доларів — слідство,neutral,0,hromadske.ua,llm,quality,13,95,0,0,0,0.0,6.077,0,0,0,0,0,0,0,0,0,0,0,val
У Росії анонсували візит Віткоффа до Москви,neutral,0,zn.ua,llm,quality,7,43,0,0,0,0.0,5.286,0,0,0,0,0,0,0,0,0,0,0,train
Як довго можна жувати жуйку: стоматологи відповіли на поширене питання,clickbait,1,znaj.ua,llm,znaj_holding,10,70,0,1,0,0.0,6.0,2,0,0,0,0,0,0,0,0,1,1,train
"Як посадити моркву, щоб збільшити її врожай удвічі",clickbait,1,ukr.media,llm,ukrmedia,8,50,0,0,0,0.0,5.25,1,0,0,0,0,0,0,0,0,1,0,train
Довше спите – здоровішими будете: вчені назвали простий спосіб уникнути деменції,clickbait,1,znaj.ua,llm,znaj_holding,10,80,0,1,0,0.0,6.8,4,1,1,0,0,1,0,0,0,0,1,train
Ліза Глинська охрестила доньок-близнюків і поділилася знімками таїнства,neutral,0,ukr.media,llm,ukrmedia,8,71,0,0,0,0.0,8.0,1,1,0,0,0,0,0,0,0,0,0,train
Сирний пиріг на сковороді за 15 хвилин,neutral,0,ukr.media,llm,ukrmedia,7,38,0,0,0,0.0,4.571,1,0,0,0,0,0,0,1,0,0,0,train
"""Символ елегантності та стилю"": Меланія Трамп перша леді за красою",neutral,0,ukr.media,llm,ukrmedia,10,66,0,1,0,0.0,5.4,0,0,0,0,0,0,0,0,0,0,0,test
Український контрнаступ досягнув успіху на 3 напрямках – ISW,neutral,0,pravda.com.ua,llm,quality,8,60,0,0,0,0.125,6.375,1,0,0,0,0,0,0,1,0,0,0,val
"Західні медіа дають апокаліптичні прогнози Україні, але літній наступ рф захлинається: думка експерта",clickbait,1,politeka.net,llm,znaj_holding,13,101,0,1,0,0.0,6.692,2,0,1,0,0,0,0,0,0,0,1,test
Навіщо досвідчені господині тримають вівсянку в холодильнику: відповідь здивує,clickbait,1,ukr.media,llm,ukrmedia,9,78,0,1,0,0.0,7.667,2,0,0,0,0,0,0,0,0,1,1,train
Дефіцит продуктів в Одесі: українці зіштовхнулися з серйозними проблемами,clickbait,1,politeka.net,llm,znaj_holding,9,73,0,1,0,0.0,7.111,2,0,0,0,0,1,0,0,0,0,1,test
"Знайшла дитину в лісі, але виявилось, що народила сама: 19-річна дівчина шокувала поліцію історією",clickbait,1,znaj.ua,llm,znaj_holding,14,98,0,1,0,0.0,5.857,1,0,0,0,0,0,1,0,0,0,0,train
